mode,alpha,beta,conf_threshold,minor_gate,major_gate,macro_f1,f1_minor,f1_major,f1_dest,triage
A,0,0,,,,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
A,0,0.1,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0,0.2,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0,0.5,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0,1.0,,,,0.5138792412940266,0.125,0.13793103448275862,0.8542199488491048,0.2629310344827586
A,0,2.0,,,,0.5111609118976543,0.125,0.12903225806451613,0.8527528809218949,0.2540322580645161
A,0,5.0,,,,0.5011945219577918,0.12903225806451615,0.08888888888888889,0.8498074454428755,0.21792114695340503
A,0.1,0,,,,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
A,0.1,0.1,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0.1,0.2,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0.1,0.5,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0.1,1.0,,,,0.5138792412940266,0.125,0.13793103448275862,0.8542199488491048,0.2629310344827586
A,0.1,2.0,,,,0.5111609118976543,0.125,0.12903225806451613,0.8527528809218949,0.2540322580645161
A,0.1,5.0,,,,0.5011945219577918,0.12903225806451615,0.08888888888888889,0.8498074454428755,0.21792114695340503
A,0.2,0,,,,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
A,0.2,0.1,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0.2,0.2,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0.2,0.5,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0.2,1.0,,,,0.5138792412940266,0.125,0.13793103448275862,0.8542199488491048,0.2629310344827586
A,0.2,2.0,,,,0.5111609118976543,0.125,0.12903225806451613,0.8527528809218949,0.2540322580645161
A,0.2,5.0,,,,0.5011945219577918,0.12903225806451615,0.08888888888888889,0.8498074454428755,0.21792114695340503
A,0.5,0,,,,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
A,0.5,0.1,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0.5,0.2,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0.5,0.5,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
A,0.5,1.0,,,,0.5138792412940266,0.125,0.13793103448275862,0.8542199488491048,0.2629310344827586
A,0.5,2.0,,,,0.5111609118976543,0.125,0.12903225806451613,0.8527528809218949,0.2540322580645161
A,0.5,5.0,,,,0.5011945219577918,0.12903225806451615,0.08888888888888889,0.8498074454428755,0.21792114695340503
A,1.0,0,,,,0.5162875273999422,0.125,0.14814814814814814,0.8531289910600256,0.27314814814814814
A,1.0,0.1,,,,0.5152375155244606,0.125,0.14285714285714288,0.8542199488491048,0.2678571428571429
