run_id,minor_precision_median,minor_precision_ci_lo,minor_precision_ci_hi,minor_recall_median,minor_recall_ci_lo,minor_recall_ci_hi,minor_f1_median,minor_f1_ci_lo,minor_f1_ci_hi,minor_fp_per_1k_no_median,minor_fp_per_1k_no_ci_lo,minor_fp_per_1k_no_ci_hi,major_precision_median,major_precision_ci_lo,major_precision_ci_hi,major_recall_median,major_recall_ci_lo,major_recall_ci_hi,major_f1_median,major_f1_ci_lo,major_f1_ci_hi,major_fp_per_1k_no_median,major_fp_per_1k_no_ci_lo,major_fp_per_1k_no_ci_hi
lowo_train_socal_test_santarosa,0.0123,0.0,0.0469,0.05,0.0,0.1053,0.0196,0.0,0.0612,16.063,9.765,25.9386,0.0131,0.0,0.0354,0.1,0.0,0.4,0.0233,0.0,0.0625,11.9682,8.0084,16.7848
lowo_train_santarosa_test_socal,0.0341,0.0,0.1067,0.0952,0.0,0.3333,0.05,0.0,0.1471,17.7545,11.4127,26.0468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.3388,4.6182,13.4424
