run_id,best_epoch,macro_f1,f1_minor,f1_major,prec_minor,prec_major,rec_minor,rec_major,fp_per_1000_no_minor,fp_per_1000_no_major,pred_minor,pred_major
baseline_s1,22,0.4662,0.0455,0.0784,0.0385,0.0444,0.0556,0.3333,23.43,25.305,26,45
baseline_s2,30,0.4595,0.0625,0.0328,0.0714,0.0182,0.0556,0.1667,11.246,35.614,14,55
baseline_s3,21,0.4633,0.0952,0.0,0.3333,0.0,0.0556,0.0,1.874,3.749,3,6
sampler_capped_s1,23,0.4656,0.0392,0.0909,0.0303,0.0526,0.0556,0.3333,22.493,22.493,33,38
sampler_capped_s2,25,0.4682,0.0656,0.0488,0.0465,0.0286,0.1111,0.1667,34.677,19.681,43,35
sampler_capped_s3,21,0.467,0.1081,0.04,0.0714,0.0227,0.2222,0.1667,41.237,26.242,56,44
sampler_noweights_s1,20,0.5168,0.2222,0.0645,0.2222,0.04,0.2222,0.1667,11.246,11.246,18,25
sampler_noweights_s2,14,0.5088,0.0755,0.1905,0.0571,0.1333,0.1111,0.3333,23.43,8.435,35,15
sampler_noweights_s3,20,0.5186,0.1818,0.1212,0.2,0.0741,0.1667,0.3333,10.309,14.058,15,27
